bar num, offset
355, 08:10:786
356, 08:11:929
357, 08:13:072
358, 08:14:215
359, 08:15:357
360, 08:16:500
361, 08:17:643
362, 08:18:786
363, 08:19:929
364, 08:21:072
365, 08:22:215
366, 08:23:357
367, 08:24:500
368, 08:25:643
369, 08:26:786
370, 08:27:929
371, 08:29:072
372, 08:30:215
373, 08:31:357
374, 08:32:500
375, 08:33:643
376, 08:34:786
377, 08:35:929
378, 08:37:072
379, 08:38:215
380, 08:39:357
381, 08:40:500
382, 08:41:643
383, 08:42:786
384, 08:43:929
385, 08:45:072
386, 08:46:215
387, 08:47:357
388, 08:48:500
389, 08:49:643
390, 08:50:786
391, 08:51:929
392, 08:53:072
393, 08:54:215
394, 08:55:357
395, 08:56:500
396, 08:57:643
397, 08:58:786
398, 08:59:929
399, 09:01:072
400, 09:02:215
401, 09:03:357
402, 09:04:500
403, 09:05:643
404, 09:06:786
405, 09:07:929
406, 09:09:072
407, 09:10:215
408, 09:11:357
409, 09:12:500
410, 09:13:643
411, 09:14:786
412, 09:15:929
413, 09:17:072
414, 09:18:215
415, 09:19:357
416, 09:20:500
417, 09:21:643
418, 09:22:786
419, 09:23:929
420, 09:25:072
421, 09:26:215
422, 09:27:357
423, 09:28:500
424, 09:29:643
425, 09:30:786
426, 09:31:929
427, 09:33:072
428, 09:34:215
429, 09:35:357
430, 09:36:500
431, 09:37:643
432, 09:38:786
433, 09:39:929
434, 09:41:072
435, 09:42:215
436, 09:43:357
437, 09:44:500
438, 09:45:643
439, 09:46:786
440, 09:47:929
441, 09:49:072
442, 09:50:215
443, 09:51:357
444, 09:52:500
445, 09:53:643
446, 09:54:786
447, 09:55:929
448, 09:57:072
449, 09:58:215
450, 09:59:357
451, 10:00:500
452, 10:01:643
453, 10:02:786
454, 10:03:929
455, 10:05:072
456, 10:06:215
457, 10:07:357
458, 10:08:500
459, 10:09:643
460, 10:11:844
461, 10:12:789
462, 10:14:724
463, 10:16:624
464, 10:17:584
465, 10:18:544
466, 10:19:504
467, 10:20:464
468, 10:21:424
469, 10:22:384
470, 10:23:344
471, 10:24:304
472, 10:25:264
473, 10:26:224
474, 10:27:184
475, 10:28:144
476, 10:29:104
477, 10:30:064
478, 10:31:024
479, 10:31:984
480, 10:32:944
481, 10:33:904
482, 10:34:864
483, 10:35:824
484, 10:36:784
485, 10:37:744
486, 10:38:704
487, 10:39:664
488, 10:40:624
489, 10:41:766
490, 10:42:784
491, 10:43:926
492, 10:45:069
493, 10:46:212
494, 10:47:355
495, 10:48:498
496, 10:49:641
497, 10:50:784
498, 10:51:926
499, 10:53:069
500, 10:54:212
501, 10:55:355
502, 10:56:498
503, 10:57:641
504, 10:58:784
505, 10:59:926
506, 11:01:069
507, 11:02:212
508, 11:03:355
509, 11:04:498
510, 11:05:641
511, 11:06:784
512, 11:07:926
513, 11:09:069
514, 11:10:212
515, 11:11:355
516, 11:12:498
517, 11:13:641
518, 11:14:784
519, 11:15:926
520, 11:17:069
521, 11:18:212
522, 11:19:355
523, 11:20:498
524, 11:21:641
525, 11:22:784
526, 11:23:926
527, 11:25:069
528, 11:26:212
529, 11:27:355
530, 11:28:498
531, 11:29:641
532, 11:30:784
533, 11:31:926
534, 11:33:069
535, 11:34:212
536, 11:35:355
537, 11:36:498
538, 11:37:641
539, 11:38:784
540, 11:39:926
541, 11:41:069
542, 11:42:212
543, 11:43:355
544, 11:44:498
545, 11:45:641
546, 11:46:784
547, 11:47:926
548, 11:49:069
549, 11:50:212
550, 11:51:355
551, 11:52:498
552, 11:53:641
553, 11:54:784
554, 11:55:926
555, 11:57:069
556, 11:58:212
557, 11:59:355
558, 12:00:498
559, 12:01:641
560, 12:02:784
561, 12:03:926
562, 12:05:069
563, 12:06:212
564, 12:07:355
565, 12:08:498
566, 12:08:750
567, 12:09:673
568, 12:10:596
569, 12:11:519
570, 12:12:442
571, 12:13:365
572, 12:14:288
573, 12:15:211
574, 12:16:134
575, 12:17:057
576, 12:17:980
577, 12:18:903
578, 12:19:826
579, 12:20:749
580, 12:21:673
581, 12:22:596
582, 12:23:519
583, 12:24:442
584, 12:25:365
585, 12:26:288
586, 12:27:211
587, 12:28:134
588, 12:29:057
589, 12:29:980
590, 12:30:903
591, 12:31:826
592, 12:32:749
593, 12:33:673
594, 12:34:596
595, 12:35:519
596, 12:36:442
597, 12:37:365
598, 12:38:288
599, 12:39:211
600, 12:40:134
601, 12:41:057
602, 12:41:980
603, 12:42:903
604, 12:43:826
605, 12:44:749
606, 12:45:673
607, 12:46:596
608, 12:47:519
609, 12:48:442
610, 12:49:365
611, 12:50:288
612, 12:51:211
613, 12:52:134
614, 12:53:057
615, 12:53:980
616, 12:54:903
617, 12:55:826
618, 12:56:749
619, 12:57:673
620, 12:58:596
621, 12:59:519
622, 13:00:442
623, 13:01:365
624, 13:02:288
625, 13:03:211
626, 13:04:134
627, 13:05:057
628, 13:05:980
629, 13:06:903
630, 13:07:826
631, 13:08:749
632, 13:09:673
633, 13:10:596
634, 13:11:519
635, 13:12:442
636, 13:13:365
637, 13:14:288
638, 13:15:211
639, 13:16:134
640, 13:17:057
641, 13:17:980
642, 13:18:903
643, 13:19:826
644, 13:20:749
645, 13:21:673
646, 13:22:596
647, 13:23:519
648, 13:24:442
649, 13:25:365
650, 13:26:288
651, 13:27:211
652, 13:28:134
653, 13:29:057
654, 13:29:980
655, 13:30:903
656, 13:31:826
657, 13:32:749
658, 13:33:673
659, 13:34:596
660, 13:35:519
661, 13:36:442
662, 13:37:365
663, 13:38:288
664, 13:39:211
665, 13:40:134
666, 13:41:057
667, 13:41:980
668, 13:42:903
669, 13:43:826
670, 13:44:749
671, 13:45:673
672, 13:46:596
673, 13:47:519
674, 13:48:442
675, 13:49:365
676, 13:50:288
677, 13:51:211
678, 13:52:134
679, 13:53:057
680, 13:53:980
681, 13:54:903
682, 13:55:826
683, 13:56:749
684, 13:57:673
685, 13:58:596
686, 13:59:519
687, 14:00:442
688, 14:01:365
689, 14:02:288
690, 14:03:211
691, 14:04:134
692, 14:05:057
693, 14:05:980
694, 14:06:903
695, 14:07:826
696, 14:08:749
697, 14:09:673
698, 14:10:596
699, 14:11:519
700, 14:12:442
701, 14:13:365
702, 14:14:288
703, 14:15:211
704, 14:16:134
705, 14:17:057
706, 14:17:980
707, 14:18:903
708, 14:19:826
709, 14:20:749
710, 14:21:673
711, 14:22:596
712, 14:23:519
713, 14:24:442
714, 14:25:365
715, 14:26:288
716, 14:27:211
717, 14:28:134
718, 14:29:057
719, 14:29:980
720, 14:30:903
721, 14:31:826
722, 14:32:749
723, 14:33:673
724, 14:34:596
725, 14:35:519
726, 14:36:442
727, 14:37:365
728, 14:38:288
729, 14:39:211
730, 14:40:134
731, 14:41:057
732, 14:41:980
733, 14:42:903
734, 14:43:826
735, 14:44:749
736, 14:44:844
737, 14:45:844
738, 14:46:844
739, 14:47:844
740, 14:48:844
741, 14:49:844
742, 14:50:844
743, 14:51:844
744, 14:52:844
745, 14:53:844
746, 14:54:844
747, 14:55:844
748, 14:56:844
749, 14:57:844
750, 14:58:844
751, 14:59:844
